id,accountId,adgroupId,campaignId,clicks,day,impressions,keywordId
0,1,2,1,0,2018-09-24,11,20
1,1,2,1,0,2018-09-24,6,2
2,1,2,1,0,2018-09-24,15,5
3,1,2,1,0,2018-09-24,3,9
4,1,2,1,0,2018-09-24,11,13
5,1,2,1,0,2018-09-24,5,17
6,1,2,1,0,2018-09-24,6,22
7,1,3,1,0,2018-09-24,2,1
8,1,3,1,0,2018-09-24,3,8
9,1,3,1,0,2018-09-24,7,11
10,1,3,1,0,2018-09-24,6,14
11,1,3,1,0,2018-09-24,16,16
12,1,3,1,0,2018-09-24,10,17
13,1,3,1,0,2018-09-24,14,18
14,1,3,1,0,2018-09-24,2,23
15,1,3,1,0,2018-09-24,15,24
16,1,3,1,0,2018-09-24,8,25
17,1,4,1,0,2018-09-24,10,2
18,1,4,1,0,2018-09-24,16,8
19,1,5,1,0,2018-09-24,1,1
20,1,5,1,0,2018-09-24,15,2
21,1,5,1,0,2018-09-24,17,5
22,1,5,1,0,2018-09-24,10,6
23,1,5,1,0,2018-09-24,9,7
24,1,5,1,0,2018-09-24,8,14
25,1,6,2,0,2018-09-24,12,2
26,1,6,2,0,2018-09-24,16,3
27,1,6,2,0,2018-09-24,10,4
28,1,6,2,0,2018-09-24,15,10
29,1,6,2,0,2018-09-24,4,11
30,1,6,2,0,2018-09-24,3,12
31,1,6,2,0,2018-09-24,16,17
32,1,7,2,0,2018-09-24,12,2
33,1,7,2,0,2018-09-24,19,3
34,1,8,2,0,2018-09-24,17,1
35,1,8,2,0,2018-09-24,6,3
36,1,8,2,0,2018-09-24,4,6
37,2,9,3,0,2018-09-24,3,9
38,2,9,3,0,2018-09-24,8,10
39,2,9,3,0,2018-09-24,15,12
40,2,9,3,0,2018-09-24,11,16
41,2,9,3,0,2018-09-24,8,25
42,2,10,3,0,2018-09-24,2,3
43,2,10,3,0,2018-09-24,6,4
44,2,10,3,0,2018-09-24,14,5
45,2,10,3,0,2018-09-24,4,6
46,2,12,4,0,2018-09-24,16,4
47,2,12,4,0,2018-09-24,3,9
48,2,12,4,0,2018-09-24,17,11
49,2,12,4,0,2018-09-24,6,14
50,2,12,4,0,2018-09-24,18,19
51,2,13,4,0,2018-09-24,14,2
52,2,13,4,0,2018-09-24,8,5
53,2,13,4,0,2018-09-24,11,13
54,2,13,4,0,2018-09-24,11,14
55,2,14,4,0,2018-09-24,4,1
56,2,14,4,0,2018-09-24,16,10
57,2,14,4,0,2018-09-24,11,14
58,2,14,4,0,2018-09-24,11,17
59,2,14,4,0,2018-09-24,12,20
60,2,14,4,0,2018-09-24,14,22
61,2,15,4,0,2018-09-24,14,2
62,2,15,4,0,2018-09-24,10,3
63,2,15,4,0,2018-09-24,12,5
64,2,15,4,0,2018-09-24,3,6
65,2,15,4,0,2018-09-24,17,7
66,2,16,4,0,2018-09-24,14,2
67,2,16,4,0,2018-09-24,10,4
68,2,16,4,0,2018-09-24,10,9
69,2,16,4,0,2018-09-24,10,10
70,2,17,4,0,2018-09-24,17,2
71,2,17,4,0,2018-09-24,14,3
72,2,17,4,0,2018-09-24,18,12
73,2,17,4,0,2018-09-24,16,13
74,2,18,5,0,2018-09-24,7,1
75,2,18,5,0,2018-09-24,12,9
76,2,18,5,0,2018-09-24,7,10
77,2,18,5,0,2018-09-24,16,15
78,2,18,5,0,2018-09-24,4,23
79,3,19,6,0,2018-09-24,6,2
80,3,19,6,0,2018-09-24,16,3
81,3,19,6,0,2018-09-24,13,4
82,3,19,6,0,2018-09-24,14,9
83,3,19,6,0,2018-09-24,15,10
84,3,19,6,0,2018-09-24,15,14
