date,time,summary,uvIndex,dewPoint,humidity,moonPhase,windSpeed,cloudCover,sunsetTime,visibility,sunriseTime,uvIndexTime,windBearing,temperatureLow,temperatureMin,temperatureMax,temperatureHigh,temperatureLowTime,temperatureMaxTime,temperatureMinTime,temperatureHighTime,apparentTemperatureLow,apparentTemperatureMin,apparentTemperatureHigh,apparentTemperatureMax,apparentTemperatureLowTime,apparentTemperatureMaxTime,apparentTemperatureMinTime,apparentTemperatureHighTime
2018-09-27,1537999200,,1,4.21,0.7,0.59,4.23,0.87,1538066100,9.614,1538023500,1538056800,266,4.41,6.24,13.05,13.05,1538109420,1538046120,1538082000,1538046120,1.44,3.52,12.77,12.77,1538104500,1538046120,1538081820,1538046120
2018-10-13,1539381600,,0,10.56,0.82,0.16,3.13,,1539445680,8.377,1539408120,1539381600,174,10.62,8.74,19.32,19.32,1539495240,1539436020,1539403620,1539436020,10.89,7.72,19.04,19.04,1539495240,1539436020,1539403980,1539436020
2018-10-22,1540159200,,1,4.2,0.68,0.44,6.42,0.75,1540221780,9.992,1540187040,1540202400,255,5.68,6.75,15.06,10.32,1540257600,1540166100,1540242000,1540210800,2.34,3.88,10.3,14.78,1540263600,1540166100,1540242000,1540210800
2018-10-06,1538776800,,0,5.26,0.75,0.91,3.53,0.87,1538842080,10.003,1538802300,1538805600,245,5.5,7.24,11.17,11.17,1538892000,1538836800,1538859600,1538836800,3.18,6.32,10.98,10.98,1538892000,1538817600,1538794020,1538817600
2018-10-15,1539554400,,0,9.07,0.76,0.22,3.59,,1539618180,10.003,1539581220,1539554400,171,5.68,9.49,19.46,19.46,1539660000,1539602400,1539583140,1539602400,5.61,8.39,19.18,19.18,1539668640,1539602400,1539583140,1539602400
2018-09-26,1537912800,Mostly cloudy throughout the day.,2,8.51,0.82,0.55,6.83,0.8,1537979880,9.967,1537936980,1537956000,239,8.13,8.72,16.26,16.26,1538026320,1537972500,1537942320,1537972500,5.6,5.35,15.98,15.98,1538026740,1537972500,1537943040,1537972500
2018-10-11,1539208800,Mostly cloudy throughout the day.,1,10.27,0.9,0.09,3.49,0.91,1539273240,9.233,1539235020,1539254100,152,8.48,8.74,14.33,13.36,1539300000,1539211860,1539289200,1539254400,6.66,6.66,13.08,14.05,1539285720,1539211860,1539285720,1539254400
2018-10-12,1539295200,,1,9.88,0.87,0.13,3.01,,1539359460,8.278,1539321600,1539338400,152,8.74,8.48,18.48,18.48,1539403620,1539351240,1539300000,1539351240,7.72,7.07,18.2,18.2,1539403980,1539351240,1539295200,1539351240
2018-10-16,1539640800,Foggy in the morning.,1,8.09,0.92,0.25,2.03,0.69,1539704400,8.188,1539667740,1539687600,82,8.26,5.68,11.86,11.86,1539755700,1539704400,1539660000,1539704400,7.41,5.61,11.58,11.58,1539755880,1539704400,1539668640,1539704400
2018-10-09,1539036000,Windy overnight.,1,10.38,0.83,0.02,5.9,0.81,1539100800,9.904,1539061920,1539081300,226,13.48,10.66,15.32,15.32,1539138000,1539088800,1539045000,1539088800,13.75,10.93,15.04,15.04,1539138000,1539088800,1539045000,1539088800
